Source	RelationType	Target	DepType
urn:cite2:gagdt:tokens.v1:Aesch_Ag_349	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_338	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_338	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_339	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_339	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_340	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_345	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_341	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_343	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_342	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_341	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_343	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_348	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_344	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_349	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_345	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_344	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_346	AuxP
urn:cite2:gagdt:tokens.v1:Aesch_Ag_346	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_347	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_345	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_348	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_331	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_349	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_352	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_350	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_352	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_351	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_349	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_352	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_349	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_353	ADV
urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_354	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_323	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_324	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_325	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_326	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_327	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_328	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_329	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_330	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_331	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_332	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_333	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_334	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_335	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_336	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_337	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_338	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_339	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_340	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_341	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_342	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_343	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_344	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_345	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_346	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_347	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_348	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_349	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_350	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_351	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_352	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_353	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_354	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_20	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_355	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_355	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_356	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_359	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_357	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_359	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_358	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_355	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_359	OBJ
urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_360	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_355	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_356	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_357	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_358	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_359	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_360	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_21	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_361	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_361	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_362	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_361	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_363	AuxP
urn:cite2:gagdt:tokens.v1:Aesch_Ag_365	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_364	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_363	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_365	OBJ
urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_366	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_361	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_362	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_363	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_364	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_365	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_366	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_22	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_368	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_367	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_372	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_368	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_370	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_369	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_372	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_370	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_373	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_371	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_378	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_372	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_372	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_373	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_375	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_374	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_376	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_375	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_378	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_376	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_376	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_377	ATR
urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_378	PRED
urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_379	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_367	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_368	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_369	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_370	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_371	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_372	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_373	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_374	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_375	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_376	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_377	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_378	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_379	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_23	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_389	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_380	SBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_389	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_381	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_380	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_382	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_382	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_383	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_383	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_384	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_387	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_385	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_387	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_386	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_388	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_387	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_380	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_388	ATR
urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_389	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_392	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_390	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_390	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_391	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_389	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_392	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_392	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_393	AuxP
urn:cite2:gagdt:tokens.v1:Aesch_Ag_393	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_394	ADV
urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_395	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_380	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_381	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_382	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_383	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_384	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_385	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_386	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_387	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_388	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_389	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_390	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_391	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_392	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_393	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_394	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_395	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_24	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_400	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_396	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_413	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_397	AuxY
urn:cite2:gagdt:artificial.v1:Aesch_Ag_8	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_398	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_400	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_399	ATR
urn:cite2:gagdt:artificial.v1:Aesch_Ag_8	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_400	SBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_402	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_401	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_403	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_402	AuxP
urn:cite2:gagdt:tokens.v1:Aesch_Ag_400	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_403	ATR
urn:cite2:gagdt:artificial.v1:Aesch_Ag_8	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_404	PNOM
urn:cite2:gagdt:tokens.v1:Aesch_Ag_407	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_405	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_409	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_406	SBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_413	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_407	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_409	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_408	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_407	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_409	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_409	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_410	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_413	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_411	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_414	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_412	ATR
urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_413	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_421	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_414	SBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_417	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_415	SBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_417	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_416	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_421	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_417	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_420	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_418	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_424	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_419	AuxY
urn:cite2:gagdt:tokens.v1:Aesch_Ag_421	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_420	OBJ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_424	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_421	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_424	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_422	AuxX
urn:cite2:gagdt:tokens.v1:Aesch_Ag_426	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_423	ADV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_413	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_424	COORD
urn:cite2:gagdt:tokens.v1:Aesch_Ag_426	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_425	AuxZ
urn:cite2:gagdt:tokens.v1:Aesch_Ag_429	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_426	AtvV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_429	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_427	AtvV
urn:cite2:gagdt:tokens.v1:Aesch_Ag_427	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_428	ATR
urn:cite2:gagdt:tokens.v1:Aesch_Ag_424	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_429	PRED
urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	syntGoverns	urn:cite2:gagdt:tokens.v1:Aesch_Ag_430	AuxK
urn:cite2:gagdt:tokens.v1:Aesch_Ag_407	syntGoverns	urn:cite2:gagdt:artificial.v1:Aesch_Ag_8	PRED
urn:cite2:gagdt:tokens.v1:Aesch_Ag_396	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_397	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_398	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_399	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_400	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_401	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_402	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_403	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_404	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_405	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_406	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_407	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_408	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_409	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_410	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_411	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_412	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_413	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_414	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_415	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_416	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_417	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_418	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_419	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_420	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_421	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
urn:cite2:gagdt:tokens.v1:Aesch_Ag_422	isTokenOf	urn:cite2:gagdt:sentences.v1:Aesch_Ag_25	none
